1,,,,,Jan 20\, 2025 19:27:36.265937000 IST
2,,,,,Jan 20\, 2025 19:27:36.265939000 IST
3,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:36.272857000 IST
4,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:36.273706000 IST
5,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:36.273710000 IST
6,192.168.29.227,13.232.68.211,59472,27017,Jan 20\, 2025 19:27:36.273906000 IST
7,,,,,Jan 20\, 2025 19:27:36.277868000 IST
8,192.168.29.227,13.233.239.221,59471,27017,Jan 20\, 2025 19:27:36.306466000 IST
9,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:36.325403000 IST
10,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:36.325572000 IST
11,,,,,Jan 20\, 2025 19:27:36.328912000 IST
12,34.237.73.95,192.168.29.227,443,58973,Jan 20\, 2025 19:27:36.333894000 IST
13,192.168.29.227,34.237.73.95,58973,443,Jan 20\, 2025 19:27:36.333992000 IST
14,,,,,Jan 20\, 2025 19:27:36.380726000 IST
15,,,,,Jan 20\, 2025 19:27:36.390182000 IST
16,13.233.239.221,192.168.29.227,27017,59471,Jan 20\, 2025 19:27:36.441874000 IST
17,192.168.29.227,13.233.239.221,59471,27017,Jan 20\, 2025 19:27:36.442150000 IST
18,13.232.68.211,192.168.29.227,27017,59453,Jan 20\, 2025 19:27:36.466665000 IST
19,192.168.29.227,13.232.68.211,59453,27017,Jan 20\, 2025 19:27:36.466851000 IST
20,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:36.582539000 IST
21,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:36.585560000 IST
22,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:36.585565000 IST
23,192.168.29.227,107.22.28.121,59587,443,Jan 20\, 2025 19:27:36.658772000 IST
24,65.1.237.79,192.168.29.227,27017,57086,Jan 20\, 2025 19:27:36.703356000 IST
25,192.168.29.227,65.1.237.79,57086,27017,Jan 20\, 2025 19:27:36.703659000 IST
26,192.168.29.227,13.233.239.221,59479,27017,Jan 20\, 2025 19:27:37.001937000 IST
27,107.22.28.121,192.168.29.227,443,59587,Jan 20\, 2025 19:27:37.009965000 IST
28,192.168.29.227,13.89.179.14,63393,443,Jan 20\, 2025 19:27:37.035366000 IST
29,192.168.29.227,13.232.68.211,59476,27017,Jan 20\, 2025 19:27:37.086205000 IST
30,192.168.29.227,13.233.239.221,59486,27017,Jan 20\, 2025 19:27:37.098563000 IST
31,192.168.29.227,13.202.208.48,59480,27017,Jan 20\, 2025 19:27:37.111854000 IST
32,13.233.239.221,192.168.29.227,27017,59479,Jan 20\, 2025 19:27:37.162099000 IST
33,192.168.29.227,13.233.239.221,59479,27017,Jan 20\, 2025 19:27:37.162256000 IST
34,13.232.68.211,192.168.29.227,27017,59476,Jan 20\, 2025 19:27:37.209984000 IST
35,192.168.29.227,13.232.68.211,59476,27017,Jan 20\, 2025 19:27:37.210192000 IST
36,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.282144000 IST
37,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:37.307120000 IST
38,192.168.29.227,13.202.208.48,59480,27017,Jan 20\, 2025 19:27:37.486229000 IST
39,192.168.29.227,13.233.239.221,59486,27017,Jan 20\, 2025 19:27:37.503445000 IST
40,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:37.526337000 IST
41,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:37.526689000 IST
